BN,School_Year,Start_Date,Overall_Rating,Indicator_1.1,Indicator_1.2,Indicator_1.3,Indicator_1.4,Indicator_1.5,Indicator_1.6,Indicator_1.7,IndicatorOverall_1,Indicator_2.1,Indicator_2.2,Indicator_2.3,Indicator_2.4,Indicator_2.5,Indicator_2.6,Indicator_2.7,IndicatorOverall_2,Indicator_3.1,Indicator_3.2,Indicator_3.3,Indicator_3.4,Indicator_3.5,Indicator_3.6,Indicator_3.7,Indicator_3.8,IndicatorOverall_3,Indicator_4.1,Indicator_4.2,Indicator_4.3,Indicator_4.4,Indicator_4.5,Indicator_4.6,Indicator_4.7,IndicatorOverall_4,Indicator_5.1,Indicator_5.2,Indicator_5.3,Indicator_5.4,Indicator_5.5,Indicator_5.6,Indicator_5.7,IndicatorOverall_5
M307,06/01/2005 12:00:00 AM,04/03/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
M459,06/01/2005 12:00:00 AM,04/03/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
M560,06/01/2005 12:00:00 AM,04/03/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
M294,06/01/2005 12:00:00 AM,04/05/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
M299,06/01/2005 12:00:00 AM,04/05/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
M407,06/01/2005 12:00:00 AM,04/05/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
M519,06/01/2005 12:00:00 AM,04/05/2006 12:00:00 AM,WD,P,P,P,P,No Data,No Data,No Data,P,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
M304,06/01/2005 12:00:00 AM,04/07/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
M449,06/01/2005 12:00:00 AM,04/07/2006 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
M570,06/01/2005 12:00:00 AM,04/07/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
M696,06/01/2005 12:00:00 AM,04/07/2006 12:00:00 AM,WD,P,P,P,P,No Data,No Data,No Data,P,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
K544,06/01/2005 12:00:00 AM,04/10/2006 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
