Name	Math_Avg	Reading_Avg	Attendance_Ratio	Rating
0	HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES	404	355	0.254	2
1	UNIVERSITY NEIGHBORHOOD HIGH SCHOOL	423	383	0.186	2
2	EAST SIDE COMMUNITY SCHOOL	402	377	0.097	4
3	FORSYTH SATELLITE ACADEMY	401	414	0.56	3
4	MARTA VALLE HIGH SCHOOL	433	390	0.252	3
5	LOWER EAST SIDE PREPARATORY HIGH SCHOOL	557	332	0.133	4
6	NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL	574	522	0.062	3
7	CASCADES HIGH SCHOOL	418	417	0.384	4
8	BARD HIGH SCHOOL EARLY COLLEGE	604	624	0.063	4
9	47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL	400	395	0.142	3
10	FOOD AND FINANCE HIGH SCHOOL	393	409	0.152	3
11	ESSEX STREET ACADEMY	384	394	0.144	4
12	HIGH SCHOOL OF HOSPITALITY MANAGEMENT	375	374	0.184	3
13	PACE HIGH SCHOOL	438	423	0.081	4
14	URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE	449	404	0.163	3
15	FACING HISTORY SCHOOL, THE	358	353	0.227	3
16	URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE	388	375	0.158	3
17	LOWER MANHATTAN ARTS ACADEMY	392	403	0.156	4
18	JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING	390	408	0.406	3
19	URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE	370	373	0.191	3
20	GRAMERCY ARTS HIGH SCHOOL	391	391	0.181	3
21	NYC ISCHOOL	483	473	0.086	4
22	MANHATTAN BUSINESS ACADEMY	0	0	0.184	3
23	BUSINESS OF SPORTS SCHOOL	0	0	0.186	3
24	EMMA LAZARUS HIGH SCHOOL	512	319	0.076	3
25	THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY	0	0	0.204	3
26	HIGH SCHOOL FOR ENVIRONMENTAL STUDIES	493	465	0.113	4
27	INSTITUTE FOR COLLABORATIVE EDUCATION	465	492	0.08	4
28	PROFESSIONAL PERFORMING ARTS HIGH SCHOOL	490	509	0.08	3
29	BARUCH COLLEGE CAMPUS HIGH SCHOOL	563	496	0.025	4
30	N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES	590	537	0.069	3
31	SCHOOL OF THE FUTURE HIGH SCHOOL	533	517	0.066	4
32	N.Y.C. MUSEUM SCHOOL	492	468	0.061	3
33	ELEANOR ROOSEVELT HIGH SCHOOL	594	572	0.042	4
34	MILLENNIUM HIGH SCHOOL	553	528	0.042	4
35	LANDMARK HIGH SCHOOL	399	390	0.241	3
